[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000846s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `tpl_one` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000235s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_advert` WHERE ( `id` = '48' ) LIMIT 1  [ RunTime:0.000242s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_category` [ RunTime:0.000874s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `alias` FROM `m_category` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000208s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE id=18010 LIMIT 1  [ RunTime:0.000442s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_modelconfig` [ RunTime:0.001060s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `modelname` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000206s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE id=180 LIMIT 1  [ RunTime:0.000198s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `id` FROM `m_categorys` WHERE fid=1 and model_id=11 LIMIT 1  [ RunTime:0.000219s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE fid=180 ORDER BY id asc [ RunTime:0.000246s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | NOTIC: [8] Use of undefined constant __PUBLIC__ - assumed '__PUBLIC__' b0a2d25c6c4c906601fcdd2aa7313405.php 第 37 行.
[ 2013-12-18T16:10:21+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | NOTIC: [8] Undefined index:  is_comment 729d018948168e2452d587085878daf1.php 第 12 行.
[ 2013-12-18T16:10:25+08:00 ] /skybroad/index.php/Admin/Advert/update | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001359s ]
[ 2013-12-18T16:10:25+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  mid AdvertAction.class.php 第 13 行.
[ 2013-12-18T16:10:25+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  image AdvertAction.class.php 第 64 行.
[ 2013-12-18T16:10:25+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [2] getimagesize(Public/data/upload/images/advert/m_) [<a href='function.getimagesize'>function.getimagesize</a>]: failed to open stream: No such file or directory AdvertAction.class.php 第 64 行.
[ 2013-12-18T16:10:25+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  three_category_id AdminAction.class.php 第 623 行.
[ 2013-12-18T16:10:25+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  two_category_id AdminAction.class.php 第 625 行.
[ 2013-12-18T16:10:25+08:00 ] /skybroad/index.php/Admin/Advert/update | SQL: UPDATE `m_advert` SET `title`='首页广告1',`net_image`='',`url`='',`is_publish`='1',`category_id`='18010',`update_time`=1387354225,`create_time`=1387354225,`begin_time`=1387354225,`end_time`=1387354225 WHERE ( `id` = '48' ) [ RunTime:0.000272s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001448s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [8] Undefined index:  rowpage AdminAction.class.php 第 357 行.
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [8] Undefined index:  searchKey AdminAction.class.php 第 358 行.
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT COUNT(*) AS tp_count FROM `m_advert` WHERE ( category_id like '18010%' ) LIMIT 1  [ RunTime:0.000269s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_advert` WHERE ( category_id like '18010%' ) ORDER BY `id` desc LIMIT 0,12  [ RunTime:0.000286s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 52 行.
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.001253s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_categorys` WHERE id=18010 LIMIT 1  [ RunTime:0.000267s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_modelconfig` [ RunTime:0.000848s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `modelname` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000224s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_categorys` WHERE id=180 LIMIT 1  [ RunTime:0.000212s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000204s ]
[ 2013-12-18T16:10:28+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000201s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001408s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.000872s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT `tpl_one` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000237s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT * FROM `m_advert` WHERE ( `id` = '47' ) LIMIT 1  [ RunTime:0.000239s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_category` [ RunTime:0.000902s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT `alias` FROM `m_category` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000205s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE id=18010 LIMIT 1  [ RunTime:0.000433s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_modelconfig` [ RunTime:0.001198s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT `modelname` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000277s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE id=180 LIMIT 1  [ RunTime:0.000244s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT `id` FROM `m_categorys` WHERE fid=1 and model_id=11 LIMIT 1  [ RunTime:0.000216s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE fid=180 ORDER BY id asc [ RunTime:0.000265s ]
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | NOTIC: [8] Use of undefined constant __PUBLIC__ - assumed '__PUBLIC__' b0a2d25c6c4c906601fcdd2aa7313405.php 第 37 行.
[ 2013-12-18T16:10:30+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/47/mid/11/cid/18010 | NOTIC: [8] Undefined index:  is_comment 729d018948168e2452d587085878daf1.php 第 12 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001412s ]
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  mid AdvertAction.class.php 第 13 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Use of undefined constant uniqid - assumed 'uniqid' AdminAction.class.php 第 158 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Use of undefined constant image_type_to_extension - assumed 'image_type_to_extension' Image.class.php 第 46 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined offset:  1 UploadFile.class.php 第 166 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Use of undefined constant image_type_to_extension - assumed 'image_type_to_extension' Image.class.php 第 46 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [2] md5_file(Public/data/upload/images/advert/52b158860d7f8.jpg) [<a href='function.md5-file'>function.md5-file</a>]: failed to open stream: No such file or directory UploadFile.class.php 第 243 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  three_category_id AdminAction.class.php 第 623 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  two_category_id AdminAction.class.php 第 625 行.
[ 2013-12-18T16:10:46+08:00 ] /skybroad/index.php/Admin/Advert/update | SQL: UPDATE `m_advert` SET `title`='首页广告2',`net_image`='',`url`='',`is_publish`='1',`image`='52b158860d7f8.jpg',`width`=600,`height`=300,`category_id`='18010',`update_time`=1387354246,`create_time`=1387354246,`begin_time`=1387354246,`end_time`=1387354246 WHERE ( `id` = '47' ) [ RunTime:0.000491s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001417s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [8] Undefined index:  rowpage AdminAction.class.php 第 357 行.
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [8] Undefined index:  searchKey AdminAction.class.php 第 358 行.
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT COUNT(*) AS tp_count FROM `m_advert` WHERE ( category_id like '18010%' ) LIMIT 1  [ RunTime:0.000347s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_advert` WHERE ( category_id like '18010%' ) ORDER BY `id` desc LIMIT 0,12  [ RunTime:0.000367s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 52 行.
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.001347s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_categorys` WHERE id=18010 LIMIT 1  [ RunTime:0.000383s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_modelconfig` [ RunTime:0.000958s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `modelname` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000228s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_categorys` WHERE id=180 LIMIT 1  [ RunTime:0.000224s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000217s ]
[ 2013-12-18T16:10:49+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000348s ]
[ 2013-12-18T16:11:22+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_system` [ RunTime:0.001643s ]
[ 2013-12-18T16:11:22+08:00 ] /skybroad/ | SQL: SELECT * FROM `m_system` LIMIT 1  [ RunTime:0.000284s ]
[ 2013-12-18T16:11:22+08:00 ] /skybroad/ | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001214s ]
